FSA,Urban,EmploymentIncomePP,SelfEmpIncomePP,PensionIncomePP,InvestmentIncomePP,BenefitIncomePP,OtherIncomePP,TFSAAmountPP,EVGradient
K0A,N,60257,16555,16943,13732,8563,9555,,
K0B,N,45741,11975,4042,11969,8107,9039,,
K0C,N,46746,12185,10008,12448,8120,8871,,
K0E,N,45128,11126,8384,13593,8492,9430,,
K0G,N,50326,11848,8893,13422,8416,9845,,
K0H,N,47333,13127,10719,13753,8901,10740,,
K0J,N,45333,9778,8375,9761,8281,9300,,
K0K,N,44090,12499,27001,11070,8545,10400,,
K0L,N,43314,11695,18551,12240,8567,9669,,
K0M,N,42051,12702,15239,12729,8206,10295,,
K1A,Y,120950,0,0,5250,0,4967,,
K1B,Y,49821,14212,3231,9598,10096,9013,,
K1C,Y,57183,23447,9226,11122,9779,9254,,
K1E,Y,53644,16097,3868,8092,9438,8446,,
K1G,Y,50173,16697,5887,13893,10283,9889,,
K1H,Y,69815,36417,2872,23949,9817,10743,,
K1J,Y,53462,18371,5355,17389,10091,9395,,
K1K,Y,49359,18253,6027,10873,10223,9485,,
K1L,Y,47971,17088,2937,13499,10254,9379,,
K1M,Y,124906,50450,990,65936,9873,11302,,
K1N,Y,58403,17103,3531,16644,10065,9677,,
K1P,Y,513652,36675,12,119725,9875,16724,,
K1R,Y,70321,23407,1456,10736,10673,9329,,
K1S,Y,83231,45965,4143,31217,9691,10515,,
K1T,Y,53355,15156,3765,10774,10548,9831,,
K1V,Y,53787,16944,8582,15525,10366,9556,,
K1W,Y,65096,22413,1451,16759,9850,9593,,
K1X,Y,68753,15703,189,9859,10721,9099,,
K1Y,Y,86282,37594,2196,21177,9955,10327,,
K1Z,Y,64666,23377,2440,16996,10264,9418,,
K2A,Y,79320,42814,2883,29896,9290,11092,,
K2B,Y,47996,15082,5555,12795,10184,8969,,
K2C,Y,55517,17963,3988,13923,9519,8802,,
K2E,Y,52148,17421,4123,14662,9964,8964,,
K2G,Y,57615,19402,6988,14121,9867,8998,,
K2H,Y,60071,21898,5197,18049,9392,9477,,
K2J,Y,61645,18290,6950,10597,9929,9512,,
K2K,Y,70053,20534,3849,17956,9661,9725,,
K2L,Y,56205,16386,3096,9347,9439,9139,,
K2M,Y,67672,19655,2733,11033,9608,9547,,
K2P,Y,77635,28376,1560,16724,10012,8995,,
K2R,Y,98015,55727,168,59851,8864,11923,,
K2S,Y,71201,25049,4384,14180,9252,10090,,
K2T,Y,80673,22447,672,12880,9994,9835,,
K2V,Y,65851,15821,426,8266,10171,9405,,
K2W,Y,82597,22012,493,20776,9896,11053,,
K4A,Y,61594,19088,7807,9507,9826,9360,,
K4B,Y,59854,27607,873,18681,8285,8733,,
K4C,Y,67290,30642,865,28893,9170,11113,,
K4K,Y,53624,17885,3309,9128,8799,9282,,
K4M,Y,84459,29723,1846,29069,9807,11724,,
K4P,Y,73376,21018,1346,23184,9311,9958,,
K4R,Y,59941,16714,1368,11420,8494,8780,,
