FSA,Employment Income #,Employment Income $,EmploymentIncomePP,Pension Income #,Pension Income $,PensionIncomePP,Investment Income #,Investment Income $,InvestmentIncomePP,Self-employment Income #,Self-employment Income $,SelfEmpIncomePP,Benefits Income #,Benefits Income $,BenefitIncomePP,Other Income #,Other Income $,OtherIncomePP
K0A,58630,3532891000,60257,29920,1020959000,16943,29280,402079000,13732,10290,170356000,16555,19860,170055000,8563,27470,262469000,9555
K0B,10330,472503000,45741,7150,184872000,4042,6310,75523000,11969,2320,27783000,11975,5960,48320000,8107,4950,44742000,9039
K0C,26550,1241111000,46746,17280,467812000,10008,13560,168790000,12448,5060,61654000,12185,13340,108316000,8120,12310,109196000,8871
K0E,19330,872325000,45128,13300,378352000,8384,8600,116897000,13593,3600,40052000,11126,9840,83562000,8492,9820,92603000,9430
K0G,19230,967767000,50326,13430,447555000,8893,9500,127509000,13422,3870,45851000,11848,8210,69094000,8416,10160,100021000,9845
K0H,22080,1045123000,47333,16040,507373000,10719,11150,153342000,13753,4410,57891000,13127,10370,92308000,8901,11840,127159000,10740
K0J,15500,702655000,45333,13170,379673000,8375,8290,80921000,9761,3430,33537000,9778,9260,76679000,8281,8090,75241000,9300
K0K,53670,2366286000,44090,41150,1190496000,27001,28020,310182000,11070,11590,144859000,12499,28950,247381000,8545,30580,318044000,10400
K0L,33970,1471364000,43314,28460,803503000,18551,19610,240020000,12240,7510,87831000,11695,20270,173654000,8567,21340,206335000,9669
K0M,22630,951608000,42051,21320,640823000,15239,14490,184437000,12729,5640,71641000,12702,13280,108973000,8206,15150,155967000,10295
K1A,60,7257000,120950,0,0,0,40,210000,5250,0,0,0,0,0,0,30,149000,4967
K1B,8960,446396000,49821,4280,160987000,3231,3850,36954000,9598,1260,17907000,14212,3620,36546000,10096,4570,41188000,9013
K1C,19800,1132233000,57183,11690,527593000,9226,10810,120225000,11122,2560,60025000,23447,5850,57206000,9779,10210,94479000,9254
K1E,7870,422182000,53644,4890,207485000,3868,3730,30185000,8092,890,14326000,16097,2520,23783000,9438,3830,32348000,8446
K1G,17580,882033000,50173,7930,295387000,5887,8240,114477000,13893,2750,45916000,16697,7340,75476000,10283,9860,97510000,9889
K1H,7820,545952000,69815,4640,200479000,2872,5520,132199000,23949,1450,52805000,36417,2640,25918000,9817,4910,52747000,10743
K1J,13730,734030000,53462,7130,286279000,5355,6940,120683000,17389,2140,39315000,18371,5680,57318000,10091,7740,72715000,9395
K1K,14820,731503000,49359,8320,297493000,6027,6930,75351000,10873,2270,41435000,18253,8590,87815000,10223,8770,83181000,9485
K1L,8280,397202000,47971,4310,140871000,2937,3620,48868000,13499,1290,22043000,17088,4840,49631000,10254,4480,42018000,9379
K1M,3250,405943000,124906,2090,123685000,990,2970,195829000,65936,720,36324000,50450,590,5825000,9873,2210,24977000,11302
K1N,13190,770341000,58403,4990,206234000,3531,6520,108519000,16644,1920,32838000,17103,5470,55054000,10065,6990,67645000,9677
K1P,500,256826000,513652,140,6032000,12,360,43101000,119725,80,2934000,36675,80,790000,9875,210,3512000,16724
K1R,10520,739774000,70321,3190,102418000,1456,4720,50673000,10736,1490,34877000,23407,4260,45469000,10673,4690,43751000,9329
K1S,16240,1351675000,83231,6610,344799000,4143,10690,333710000,31217,3080,141571000,45965,3480,33724000,9691,9070,95367000,10515
K1T,20080,1071367000,53355,6540,200899000,3765,7950,85653000,10774,3330,50470000,15156,7660,80798000,10548,10800,106170000,9831
K1V,27840,1497435000,53787,11650,461614000,8582,12480,193751000,15525,4390,74385000,16944,11440,118584000,10366,15250,145734000,9556
K1W,7530,490170000,65096,2350,94444000,1451,3250,54466000,16759,1050,23534000,22413,1910,18813000,9850,3450,33096000,9593
K1X,2160,148507000,68753,470,12973000,189,1040,10253000,9859,310,4868000,15703,610,6540000,10721,1010,9190000,9099
K1Y,10920,942200000,86282,4360,189451000,2196,6610,139978000,21177,1760,66165000,37594,3110,30960000,9955,5420,55971000,10327
K1Z,11140,720378000,64666,4600,157797000,2440,5240,89060000,16996,1660,38806000,23377,5280,54196000,10264,5800,54625000,9418
K2A,8380,664698000,79320,5030,228680000,2883,6430,192229000,29896,1450,62080000,42814,2480,23040000,9290,5320,59009000,11092
K2B,15710,754022000,47996,7920,266621000,5555,6900,88283000,12795,2370,35744000,15082,7820,79640000,10184,8780,78744000,8969
K2C,15110,838861000,55517,6280,221384000,3988,7390,102889000,13923,2180,39159000,17963,5510,52452000,9519,7610,66987000,8802
K2E,9790,510531000,52148,5270,214996000,4123,5540,81230000,14662,1520,26480000,17421,4000,39856000,9964,5480,49125000,8964
K2G,27510,1584997000,57615,10760,402641000,6988,13730,193879000,14121,4150,80519000,19402,8550,84359000,9867,14530,130739000,8998
K2H,13370,803153000,60071,7640,312217000,5197,7910,142764000,18049,1960,42920000,21898,4580,43014000,9392,7730,73258000,9477
K2J,43590,2687127000,61645,12310,428433000,6950,18020,190963000,10597,5820,106445000,18290,11910,118260000,9929,20640,196332000,9512
K2K,12710,890376000,70053,6300,269655000,3849,8370,150294000,17956,1750,35934000,20534,3270,31592000,9661,7490,72842000,9725
K2L,10110,568229000,56205,4850,174028000,3096,4590,42901000,9347,1250,20482000,16386,3460,32660000,9439,4950,45237000,9139
K2M,16420,1111176000,67672,4980,184931000,2733,7230,79765000,11033,2000,39309000,19655,4150,39872000,9608,7620,72745000,9547
K2P,10060,781007000,77635,3130,121119000,1560,4630,77432000,16724,1330,37740000,28376,3540,35443000,10012,4380,39396000,8995
K2R,610,59789000,98015,360,16471000,168,590,35312000,59851,150,8359000,55727,140,1241000,8864,440,5246000,11923
K2S,20940,1490956000,71201,7900,312122000,4384,10170,144215000,14180,2670,66880000,25049,4950,45796000,9252,9960,100501000,10090
K2T,6130,494526000,80673,1640,54208000,672,3750,48301000,12880,770,17284000,22447,1250,12493000,9994,2930,28817000,9835
