FSA,WtdEmploymentIncome,WtdPensionIncome,WtdInvestmentIncome,WtdSelfEmpIncome,WtdBenefitIncome,WtdOtherIncome
K0A,1180583638,174107115,67101015,9991241,19249315,41094462
K0B,131846461,35705964,12872775,1741128,7779233,5982520
K0C,374023803,91756996,25979482,3541081,16401083,15257693
K0E,261467549,78028866,15588684,2235807,12750040,14100813
K0G,288977631,93333286,18809557,2755332,8808412,15779711
K0H,304075845,107237619,22529494,3364070,12613440,19838748
K0J,188624047,86600163,11618204,1992240,12297325,10542080
K0K,654766806,252572233,44809753,8655990,36923489,50143254
K0L,381078340,174349614,35885881,5029055,26837196,33571126
K0M,232784445,147685076,28888684,4367693,15643297,25542104
K1A,3349385,0,64615,0,0,34385
K1B,150704904,25961732,5360697,850144,4984797,7092282
K1C,367994311,101240351,21333425,2522390,5493354,15834383
K1E,140015691,42756075,4744629,537300,2525628,5220937
K1G,288754937,43620464,17565931,2351378,10316459,17904071
K1H,158241091,34478227,27047386,2837926,2536083,9599250
K1J,232431548,47074937,19315960,1940362,7508446,12980030
K1K,218126247,49801645,10506689,1892504,15177683,14678015
K1L,122626121,22638106,6595905,1060234,8956526,7018667
K1M,111522802,21851365,49164170,2210759,290511,4666033
K1N,259999943,26333359,18105012,1613331,7705869,12099246
K1P,93732117,616409,11325810,171328,46131,538336
K1R,269567803,11316710,8284605,1800025,6709316,7107454
K1S,446434859,46351869,72551554,8867982,2386811,17591594
K1T,381707760,23312269,12081997,2981993,10981417,20344855
K1V,501969782,64753800,29115141,3931970,16334750,26760307
K1W,188893557,11358414,9059084,1264621,1838937,5843460
K1X,57281271,1088805,1904129,269479,712393,1657482
K1Y,319727284,25668314,28752473,3618720,2992094,9427061
K1Z,237989648,21526281,13839692,1910378,8486206,9395759
K2A,191480551,39541437,42489944,3094397,1964221,10791608
K2B,239306780,42659360,12306115,1711379,12581511,13967118
K2C,287549676,31540189,17249313,1936629,6556500,11564679
K2E,158167674,35855346,14240956,1273722,5045063,8519146
K2G,550337845,54681524,33597863,4217517,9103489,23976242
K2H,248625969,55228939,26146405,1947747,4561336,13111469
K2J,1043119298,46967764,30645233,5517053,12543206,36087741
K2K,283697141,42587779,31535743,1576448,2589768,13677277
K2L,196672208,28895440,6741376,876498,3868661,7665976
K2M,430318630,21720669,13601438,1854198,3902566,13073512
K2P,290244936,14004524,13243818,1854237,4634955,6374380
K2R,15926328,2589328,9097852,547533,75869,1007965
K2S,551698509,43572430,25917416,3155497,4005835,17688460
K2T,184058554,5397761,10997495,808056,948163,5126522
K2V,126659956,2109867,2532829,647957,1385198,3331975
K2W,148190387,4040645,9561367,638528,775919,4704378
K4A,838338659,64333697,19236345,3850631,9634440,25341505
K4B,49926233,9293348,5267105,669759,681192,1655568
K4C,46738748,10713494,8610596,750421,578229,2299834
K4K,158260508,34712590,5647546,769352,3668534,5267071
K4M,187163650,24330782,31743623,2086130,1151881,8926353
K4P,147069494,15661304,12446416,829809,1191087,4645651
K4R,105422656,13835781,3699351,522602,1216999,2734864
K6A,53957761,28924452,4690439,335609,9401543,3757215
K6H,150571027,55185018,6608292,487157,18431039,10659012
K6J,90134349,30047295,2673069,318740,10229485,5376931
K6K,24793308,6211813,1187523,93129,1178602,1071387
