Prov/Terr,FSA,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,,
10,A0A,22520 ,897354000 ,17100 ,336332000 ,5460 ,27955000 ,2570 ,50391000 ,21920 ,244686000 ,10790 ,108866000 ,,,,,,,,,,,
10,A0B,9340 ,351316000 ,8770 ,165085000 ,2270 ,15862000 ,1350 ,23472000 ,10240 ,111061000 ,4240 ,39014000 ,,,,,,,,,,,
10,A0C,5740 ,178365000 ,5240 ,84992000 ,1170 ,5715000 ,840 ,10806000 ,7200 ,79574000 ,2460 ,21731000 ,,,,,,,,,,,
10,A0E,10410 ,404389000 ,8970 ,157375000 ,2450 ,11521000 ,1340 ,22704000 ,11660 ,123165000 ,4920 ,47689000 ,,,,,,,,,,,
10,A0G,15570 ,491239000 ,15180 ,260375000 ,4090 ,24497000 ,2290 ,31086000 ,19710 ,217694000 ,7200 ,67076000 ,,,,,,,,,,,
10,A0H,7670 ,255813000 ,7220 ,127898000 ,1460 ,5795000 ,860 ,11844000 ,9100 ,94560000 ,3490 ,32150000 ,,,,,,,,,,,
10,A0J,3550 ,133706000 ,3470 ,58941000 ,1040 ,5217000 ,380 ,6461000 ,4420 ,43506000 ,1690 ,15228000 ,,,,,,,,,,,
10,A0K,12360 ,415639000 ,10720 ,169764000 ,2960 ,16148000 ,2820 ,46529000 ,15280 ,182158000 ,5690 ,59215000 ,,,,,,,,,,,
10,A0L,4010 ,158853000 ,2930 ,63034000 ,920 ,6467000 ,410 ,6558000 ,3500 ,39194000 ,1570 ,14358000 ,,,,,,,,,,,
10,A0M,3010 ,112082000 ,2580 ,49148000 ,510 ,3758000 ,240 ,4990000 ,2970 ,29974000 ,1060 ,8734000 ,,,,,,,,,,,
10,A0N,5900 ,183178000 ,6080 ,100987000 ,1130 ,4000000 ,670 ,5075000 ,8020 ,88471000 ,2790 ,26000000 ,,,,,,,,,,,
10,A0P,6700 ,365649000 ,2460 ,50689000 ,1170 ,9825000 ,470 ,6348000 ,3460 ,35711000 ,3320 ,32110000 ,,,,,,,,,,,
10,A0R,1640 ,137485000 ,420 ,10899000 ,410 ,1603000 ,80 ,672000 ,540 ,5770000 ,470 ,4073000 ,,,,,,,,,,,
10,A1A,15200 ,876232000 ,8530 ,307440000 ,6410 ,82380000 ,1710 ,69451000 ,6200 ,59388000 ,7370 ,85404000 ,,,,,,,,,,,
10,A1B,10540 ,486097000 ,4240 ,144630000 ,3730 ,50819000 ,1100 ,33365000 ,5140 ,51813000 ,5200 ,48938000 ,,,,,,,,,,,
10,A1C,6350 ,302638000 ,2970 ,80358000 ,1980 ,29223000 ,940 ,24159000 ,4110 ,41533000 ,3430 ,37136000 ,,,,,,,,,,,
10,A1E,13390 ,636578000 ,8640 ,241388000 ,4530 ,39896000 ,1280 ,24746000 ,8310 ,81190000 ,6630 ,71451000 ,,,,,,,,,,,
10,A1G,3150 ,155870000 ,1520 ,38307000 ,860 ,4112000 ,220 ,5308000 ,1660 ,16776000 ,1360 ,14572000 ,,,,,,,,,,,
10,A1H,3560 ,256535000 ,1080 ,35679000 ,1270 ,10803000 ,330 ,14127000 ,1040 ,10596000 ,1420 ,14121000 ,,,,,,,,,,,
10,A1K,7240 ,436980000 ,3160 ,88982000 ,2140 ,23227000 ,670 ,17829000 ,3000 ,29863000 ,3040 ,35138000 ,,,,,,,,,,,
10,A1L,12960 ,789247000 ,4090 ,106913000 ,3400 ,27987000 ,1060 ,26950000 ,5230 ,51852000 ,5140 ,53174000 ,,,,,,,,,,,
