Summary Statistics of TFSA by FSA,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,,
PRUID,FSA,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,,
10,A0A,12660 ,286330000 ,6330 ,49115000 ,3620 ,26689000 ,,,,,,,,,,,,,,,,,
10,A0B,5750 ,130910000 ,2960 ,23432000 ,1630 ,11629000 ,,,,,,,,,,,,,,,,,
10,A0C,2850 ,65611000 ,1380 ,9973000 ,730 ,5776000 ,,,,,,,,,,,,,,,,,
10,A0E,6140 ,163297000 ,3120 ,25185000 ,1750 ,12636000 ,,,,,,,,,,,,,,,,,
10,A0G,10200 ,244894000 ,5190 ,42131000 ,2890 ,20806000 ,,,,,,,,,,,,,,,,,
10,A0H,4650 ,94201000 ,2230 ,14258000 ,1330 ,7918000 ,,,,,,,,,,,,,,,,,
10,A0J,2070 ,61690000 ,950 ,8841000 ,500 ,4402000 ,,,,,,,,,,,,,,,,,
10,A0K,6550 ,170268000 ,3150 ,26174000 ,1700 ,12261000 ,,,,,,,,,,,,,,,,,
10,A0L,2340 ,51055000 ,1180 ,8624000 ,750 ,5526000 ,,,,,,,,,,,,,,,,,
10,A0M,1640 ,39762000 ,910 ,6242000 ,470 ,2932000 ,,,,,,,,,,,,,,,,,
10,A0N,3020 ,71592000 ,1530 ,10102000 ,830 ,5536000 ,,,,,,,,,,,,,,,,,
10,A0P,2590 ,47522000 ,1530 ,11075000 ,860 ,6194000 ,,,,,,,,,,,,,,,,,
10,A0R,970 ,18585000 ,550 ,4732000 ,310 ,2010000 ,,,,,,,,,,,,,,,,,
10,A1A,11220 ,342484000 ,6370 ,56120000 ,2840 ,22628000 ,,,,,,,,,,,,,,,,,
10,A1B,6490 ,168790000 ,3720 ,31028000 ,1740 ,14440000 ,,,,,,,,,,,,,,,,,
10,A1C,3880 ,95346000 ,2260 ,17774000 ,1150 ,8487000 ,,,,,,,,,,,,,,,,,
10,A1E,8900 ,220093000 ,4920 ,39443000 ,2510 ,17201000 ,,,,,,,,,,,,,,,,,
10,A1G,1820 ,34913000 ,1030 ,7313000 ,580 ,4009000 ,,,,,,,,,,,,,,,,,
10,A1H,2220 ,54366000 ,1290 ,11584000 ,670 ,5307000 ,,,,,,,,,,,,,,,,,
10,A1K,4550 ,102880000 ,2610 ,19703000 ,1370 ,9749000 ,,,,,,,,,,,,,,,,,
10,A1L,7230 ,144356000 ,4020 ,29575000 ,2240 ,15216000 ,,,,,,,,,,,,,,,,,
10,A1M,2810 ,67230000 ,1580 ,12755000 ,820 ,6343000 ,,,,,,,,,,,,,,,,,
10,A1N,8010 ,178176000 ,4400 ,32353000 ,2490 ,16401000 ,,,,,,,,,,,,,,,,,
10,A1S,1940 ,39413000 ,1050 ,7654000 ,610 ,4332000 ,,,,,,,,,,,,,,,,,
10,A1V,4190 ,103105000 ,2320 ,17595000 ,1250 ,9106000 ,,,,,,,,,,,,,,,,,
10,A1W,3830 ,87397000 ,2230 ,16531000 ,1160 ,7959000 ,,,,,,,,,,,,,,,,,
10,A1X,4670 ,85053000 ,2620 ,17024000 ,1560 ,9458000 ,,,,,,,,,,,,,,,,,
10,A1Y,1610 ,34922000 ,810 ,6119000 ,480 ,3048000 ,,,,,,,,,,,,,,,,,
10,A2A,3200 ,86315000 ,1760 ,13681000 ,900 ,6483000 ,,,,,,,,,,,,,,,,,
10,A2B,1260 ,25817000 ,690 ,4410000 ,400 ,2398000 ,,,,,,,,,,,,,,,,,
10,A2H,7810 ,182737000 ,4140 ,33653000 ,2410 ,17857000 ,,,,,,,,,,,,,,,,,
10,A2N,2410 ,55827000 ,1250 ,9166000 ,690 ,4829000 ,,,,,,,,,,,,,,,,,
10,A2V,2950 ,58697000 ,1720 ,13040000 ,900 ,5900000 ,,,,,,,,,,,,,,,,,
10,A5A,2370 ,55589000 ,1250 ,9558000 ,670 ,4422000 ,,,,,,,,,,,,,,,,,
10,A8A,1780 ,41163000 ,830 ,7500000 ,510 ,4215000 ,,,,,,,,,,,,,,,,,
TOTAL,,156570 ,3710385000 ,83890 ,653464000 ,45290 ,324101000 ,,,,,,,,,,,,,,,,,
11,C0A,15150 ,358072000 ,7930 ,70056000 ,4300 ,32522000 ,,,,,,,,,,,,,,,,,
