FSA,EV2022Q1,EV2022Q2,EV2022Q3,EV2022Q4,EV2023Q1,EV2023Q2,EV2023Q3,Gradient
K0A,645,745,871,928,987,1088,1195,
K0B,95,103,107,118,119,131,145,
K0C,167,193,215,234,242,269,302,
K0E,128,140,155,162,173,182,208,
K0G,197,223,254,272,294,326,352,
K0H,192,225,267,283,293,321,350,
K0J,96,103,112,126,130,141,160,
K0K,409,444,505,539,562,612,666,
K0L,204,234,262,294,318,351,404,
K0M,111,133,149,175,183,215,244,
K1A,70,69,74,77,84,84,91,
K1B,85,87,110,110,110,130,153,
K1C,219,250,275,289,309,323,365,
K1E,59,70,77,76,81,91,102,
K1G,166,195,206,218,235,256,288,
K1H,135,148,169,180,192,206,214,
K1J,156,179,204,220,241,281,295,
K1K,168,185,207,211,222,256,279,
K1L,66,76,85,84,87,96,102,
K1M,103,109,122,120,128,133,143,
K1N,116,118,129,141,151,158,178,
K1P,28,29,32,32,35,39,41,
K1R,87,86,96,97,106,121,134,
K1S,317,353,406,439,469,501,540,
K1T,187,217,246,256,284,331,373,
K1V,299,328,366,397,413,468,520,
K1W,103,116,135,141,154,171,198,
K1X,31,38,41,49,51,62,73,
K1Y,203,226,245,258,273,314,348,
K1Z,131,155,165,171,180,210,232,
K2A,182,196,219,243,261,280,319,
K2B,117,129,159,165,178,189,202,
K2C,149,170,185,195,195,221,253,
K2E,119,122,136,147,163,177,198,
K2G,271,301,330,362,382,412,448,
K2H,158,178,202,217,231,243,273,
K2J,449,525,591,644,708,815,908,
K2K,235,257,279,298,312,329,352,
K2L,91,107,115,116,122,142,152,
K2M,215,242,271,290,305,321,359,
K2P,72,89,101,112,114,124,148,
K2R,13,16,22,24,27,30,35,
K2S,315,349,397,429,444,496,575,
K2T,98,118,130,138,155,180,208,
K2V,85,104,119,129,148,173,206,
K2W,90,95,106,115,135,144,150,
K3M,,,,,1,1,1,
K4A,355,418,459,475,504,564,626,
K4B,43,45,53,60,66,71,73,
K4C,49,57,69,74,80,89,98,
K4K,109,130,145,165,179,195,203,
K4M,178,202,250,267,293,325,374,
K4P,109,122,141,150,165,188,205,
K4R,51,60,71,77,81,82,86,
K5M,1,,1,1,1,1,1,
K5W,,,,,,,2,
K6A,45,53,53,64,65,71,84,
K6G,,,,,1,1,1,
K6H,74,76,92,102,112,122,136,
K6J,30,35,39,42,46,53,57,
K6K,5,7,8,7,9,15,21,
K6T,1,2,2,2,2,3,3,
K6V,72,88,99,100,108,123,137,
K7A,36,39,48,49,51,61,72,
K7C,90,104,113,124,136,156,180,
K7G,29,37,37,39,39,44,51,
K7H,93,103,114,120,124,128,138,
K7K,108,122,135,158,175,185,214,
K7L,191,196,214,231,237,266,284,
K7M,197,209,248,264,288,298,335,
K7N,22,25,30,34,34,41,45,
K7P,120,136,153,167,174,195,218,
K7R,41,49,52,54,60,65,71,
K7S,48,57,65,59,64,76,80,
K7V,28,32,36,40,43,47,52,
K8A,41,51,61,64,69,77,91,
K8B,1,1,1,76,75,1,2,
K8H,50,56,70,1,1,73,89,
K8J,1,1,1,1,1,1,1,
K8K,,,,,,1,1,
K8N,103,111,127,129,135,151,174,
K8P,47,51,58,62,64,72,80,
K8R,15,16,15,15,16,15,14,
K8V,83,94,108,118,120,133,150,
K9A,125,140,165,175,187,204,214,
K9H,99,98,106,111,120,131,151,
K9J,155,171,189,200,212,228,248,
K9K,51,54,59,72,87,96,107,
K9L,34,40,41,45,47,50,59,
K9V,47,53,71,75,79,86,99,
L0A,79,91,106,123,130,139,156,
L0B,91,102,110,114,119,127,139,
L0C,40,46,54,64,72,79,88,
L0E,72,87,90,102,113,125,134,
L0G,281,323,373,408,438,491,537,
L0H,13,12,17,16,15,14,17,
L0J,72,86,88,97,107,114,121,
L0K,145,161,202,226,241,262,291,
L0L,250,294,333,374,406,441,472,
L0M,138,167,192,214,220,240,267,
L0N,16,19,21,21,20,26,30,
