FSA,EmploymentIncomePP,PensionIncomePP,InvestmentIncomePP,SelfEmpIncomePP,BenefitIncomePP,OtherIncomePP,EVGradient
K0A,60257,16943,13732,16555,8563,9555,
K0B,45741,4042,11969,11975,8107,9039,
K0C,46746,10008,12448,12185,8120,8871,
K0E,45128,8384,13593,11126,8492,9430,
K0G,50326,8893,13422,11848,8416,9845,
K0H,47333,10719,13753,13127,8901,10740,
K0J,45333,8375,9761,9778,8281,9300,
K0K,44090,27001,11070,12499,8545,10400,
K0L,43314,18551,12240,11695,8567,9669,
K0M,42051,15239,12729,12702,8206,10295,
K1A,120950,0,5250,0,0,4967,
K1B,49821,3231,9598,14212,10096,9013,
K1C,57183,9226,11122,23447,9779,9254,
K1E,53644,3868,8092,16097,9438,8446,
K1G,50173,5887,13893,16697,10283,9889,
K1H,69815,2872,23949,36417,9817,10743,
K1J,53462,5355,17389,18371,10091,9395,
K1K,49359,6027,10873,18253,10223,9485,
K1L,47971,2937,13499,17088,10254,9379,
K1M,124906,990,65936,50450,9873,11302,
K1N,58403,3531,16644,17103,10065,9677,
K1P,513652,12,119725,36675,9875,16724,
K1R,70321,1456,10736,23407,10673,9329,
K1S,83231,4143,31217,45965,9691,10515,
K1T,53355,3765,10774,15156,10548,9831,
K1V,53787,8582,15525,16944,10366,9556,
K1W,65096,1451,16759,22413,9850,9593,
K1X,68753,189,9859,15703,10721,9099,
K1Y,86282,2196,21177,37594,9955,10327,
K1Z,64666,2440,16996,23377,10264,9418,
K2A,79320,2883,29896,42814,9290,11092,
K2B,47996,5555,12795,15082,10184,8969,
K2C,55517,3988,13923,17963,9519,8802,
K2E,52148,4123,14662,17421,9964,8964,
K2G,57615,6988,14121,19402,9867,8998,
K2H,60071,5197,18049,21898,9392,9477,
K2J,61645,6950,10597,18290,9929,9512,
K2K,70053,3849,17956,20534,9661,9725,
K2L,56205,3096,9347,16386,9439,9139,
K2M,67672,2733,11033,19655,9608,9547,
K2P,77635,1560,16724,28376,10012,8995,
K2R,98015,168,59851,55727,8864,11923,
K2S,71201,4384,14180,25049,9252,10090,
K2T,80673,672,12880,22447,9994,9835,
K2V,65851,426,8266,15821,10171,9405,
K2W,82597,493,20776,22012,9896,11053,
K4A,61594,7807,9507,19088,9826,9360,
K4B,59854,873,18681,27607,8285,8733,
K4C,67290,865,28893,30642,9170,11113,
K4K,53624,3309,9128,17885,8799,9282,
K4M,84459,1846,29069,29723,9807,11724,
K4P,73376,1346,23184,21018,9311,9958,
K4R,59941,1368,11420,16714,8494,8780,
